alphaCode,commonName,scientificName,ebirdCode
BTPL,Bronze-tailed Plumeleteer,Chalybura urochrysia,brtplu1
BROC,Bronzed Cowbird,Molothrus aeneus,brocow
BRHE,Bronzy Hermit,Glaucis aeneus,broher
BRBO,Brown Booby,Sula leucogaster,brnboo
BRCR,Brown Creeper,Certhia americana,brncre
BRJA,Brown Jay,Cyanocorax morio,brnjay
BRNO,Brown Noddy,Anous stolidus,brnnod
BRPE,Brown Pelican,Pelecanus occidentalis,brnpel
BROS,Brown Shrike,Lanius cristatus,brnshr
BRTH,Brown Thrasher,Toxostoma rufum,brnthr
BRTR,Brown Trembler,Cinclocerthia ruficauda,brotre1
BRVI,Brown Violetear,Colibri delphinae,brvear1
BBSO,Brown-backed Solitaire,Myadestes occidentalis,brbsol1
BBSC,Brown-billed Scythebill,Campylorhamphus pusillus,brbscy1
BCRF,Brown-capped Rosy-Finch,Leucosticte australis,bcrfin
BCTY,Brown-capped Tyrannulet,Ornithion brunneicapillus,brctyr
BCAV,Brown-capped Vireo,Vireo leucophrys,brcvir1
BCMA,Brown-chested Martin,Progne tapera,brcmar1
BCFL,Brown-crested Flycatcher,Myiarchus tyrannulus,bncfly
BHCO,Brown-headed Cowbird,Molothrus ater,bnhcow
BHNU,Brown-headed Nuthatch,Sitta pusilla,bnhnut
BHOP,Brown-hooded Parrot,Pyrilia haematotis,brhpar1
BTPA,Brown-throated Parakeet,Eupsittula pertinax,brtpar1
BRTW,Brownish Twistwing,Cnipodectes subbrunneus,brofly1
BRYS,Bryan's Shearwater,Puffinus bryani,bryshe1
BBEH,Buff-bellied Hummingbird,Amazilia yucatanensis,bubhum
BBFL,Buff-breasted Flycatcher,Empidonax fulvifrons,bubfly
BBSA,Buff-breasted Sandpiper,Calidris subruficollis,bubsan
BBRW,Buff-breasted Wren,Cantorchilus leucotis,bubwre1
BCNI,Buff-collared Nightjar,Antrostomus ridgwayi,bucnig
BFFG,Buff-fronted Foliage-gleaner,Dendroma rufa,bffgle
BFQD,Buff-fronted Quail-Dove,Zentrygon costaricensis,bfqdov1
BNIB,Buff-necked Ibis,Theristicus caudatus,bunibi1
BURW,Buff-rumped Warbler,Myiothlypis fulvicauda,burwar1
BTSA,Buff-throated Saltator,Saltator maximus,butsal1
