alphaCode,commonName,scientificName,ebirdCode
EUSP,European Storm-Petrel,Hydrobates pelagicus,bripet
EUTD,European Turtle-Dove,Streptopelia turtur,eutdov
EVGR,Evening Grosbeak,Hesperiphona vespertina,evegro
ERFL,Eye-ringed Flatbill,Rhynchocyclus brevirostris,eyrfla1
EYTH,Eyebrowed Thrush,Turdus obscurus,eyethr
FADU,Falcated Duck,Mareca falcata,falduc
FTWA,Fan-tailed Warbler,Euthlypis lachrymosa,fatwar
FECU,Far Eastern Curlew,Numenius madagascariensis,faecur
FAAN,Fasciated Antshrike,Cymbilaimus lineatus,fasant1
FTHE,Fasciated Tiger-Heron,Tigrisoma fasciatum,father1
FTFG,Fawn-throated Foliage-gleaner,Automolus cervinigularis,butfog9
FEFL,Fernandina's Flicker,Colaptes fernandinae,ferfli1
FEHA,Ferruginous Hawk,Buteo regalis,ferhaw
FEPO,Ferruginous Pygmy-Owl,Glaucidium brasilianum,fepowl
FISP,Field Sparrow,Spizella pusilla,fiespa
FIEL,Fieldfare,Turdus pilaris,fieldf
FBAR,Fiery-billed Aracari,Pteroglossus frantzii,fibara1
FTHU,Fiery-throated Hummingbird,Panterpe insignis,fithum1
FICR,Fish Crow,Corvus ossifragus,fiscro
FSSP,Five-striped Sparrow,Amphispizopsis quinquestriata,fisspa
FCTA,Flame-colored Tanager,Piranga bidentata,flctan
FRTA,Flame-rumped Tanager,Ramphocelus flammigerus,flrtan1
FTHW,Flame-throated Warbler,Oreothlypis gutturalis,fltwar1
FLFL,Flammulated Flycatcher,Ramphotrigon flammulatum,flafly1
FLOW,Flammulated Owl,Psiloscops flammeolus,flaowl
FBVI,Flat-billed Vireo,Vireo nanus,flbvir1
FFSH,Flesh-footed Shearwater,Ardenna carneipes,flfshe
FLSJ,Florida Scrub-Jay,Aphelocoma coerulescens,flsjay
FOEL,Forest Elaenia,Myiopagis gaimardii,forela1
FOTH,Forest Thrush,Turdus lherminieri,forthr1
FTFL,Fork-tailed Flycatcher,Tyrannus savana,fotfly
FTSP,Fork-tailed Storm-Petrel,Hydrobates furcatus,ftspet
FOTE,Forster's Tern,Sterna forsteri,forter
FOSP,Fox Sparrow,Passerella iliaca,foxspa
FRGU,Franklin's Gull,Leucophaeus pipixcan,fragul
FUOW,Fulvous Owl,Strix fulvescens,fulowl1
FUWD,Fulvous Whistling-Duck,Dendrocygna bicolor,fuwduc
FVEU,Fulvous-vented Euphonia,Euphonia fulvicrissa,fuveup1
GADW,Gadwall,Mareca strepera,gadwal
GAPE,Galapagos Petrel,Pterodroma phaeopygia,galpet
GASH,Galapagos Shearwater,Puffinus subalaris,audshe3
GAQU,Gambel's Quail,Callipepla gambelii,gamqua
GAEM,Garden Emerald,Chlorostilbon assimilis,gareme1
GARG,Garganey,Spatula querquedula,gargan
GATH,Garnet-throated Hummingbird,Lamprolaima rhami,gathum1
GICO,Giant Cowbird,Molothrus oryzivorus,giacow
GIKI,Giant Kingbird,Tyrannus cubensis,giakin1
GIWR,Giant Wren,Campylorhynchus chiapensis,giawre1
GIWO,Gila Woodpecker,Melanerpes uropygialis,gilwoo
GIFL,Gilded Flicker,Colaptes chrysoides,gilfli
GLGU,Glaucous Gull,Larus hyperboreus,glagul
GWGU,Glaucous-winged Gull,Larus glaucescens,glwgul
GLIB,Glossy Ibis,Plegadis falcinellus,gloibi
GLTH,Glow-throated Hummingbird,Selasphorus ardens,glthum1
GOEA,Golden Eagle,Aquila chrysaetos,goleag
GOSW,Golden Swallow,Tachycineta euchrysea,golswa1
GOVI,Golden Vireo,Vireo hypochryseus,golvir1
GBFL,Golden-bellied Flycatcher,Myiodynastes hemichrysus,gobfly1
GBCH,Golden-browed Chlorophonia,Chlorophonia callophrys,gobchl1
GBWA,Golden-browed Warbler,Basileuterus belli,gobwar1
GCWA,Golden-cheeked Warbler,Setophaga chrysoparia,gchwar
GCHW,Golden-cheeked Woodpecker,Melanerpes chrysogenys,gocwoo1
GCMA,Golden-collared Manakin,Manacus vitellinus,gocman1
GCEM,Golden-crowned Emerald,Cynanthus auriceps,goceme1
GCKI,Golden-crowned Kinglet,Regulus satrapa,gockin
GCRS,Golden-crowned Spadebill,Platyrinchus coronatus,gocspa1
GCSP,Golden-crowned Sparrow,Zonotrichia atricapilla,gocspa
GCRW,Golden-crowned Warbler,Basileuterus culicivorus,gcrwar
GFGR,Golden-fronted Greenlet,Pachysylvia aurantiifrons,gofgre1
GFWO,Golden-fronted Woodpecker,Melanerpes aurifrons,gofwoo
GGWO,Golden-green Woodpecker,Piculus chrysochloros,gogwoo1
GHMA,Golden-headed Manakin,Ceratopipra erythrocephala,gohman1
GHQU,Golden-headed Quetzal,Pharomachrus auriceps,gohque1
GHOT,Golden-hooded Tanager,Stilpnia larvata,gohtan1
GNWO,Golden-naped Woodpecker,Melanerpes chrysauchen,gonwoo1
GOWO,Golden-olive Woodpecker,Colaptes rubiginosus,goowoo1
GWWA,Golden-winged Warbler,Vermivora chrysoptera,gowwar
GRWA,Grace's Warbler,Setophaga graciae,grawar
GBTT,Graceful Black-throated Trogon,Trogon tenellus,bkttro7
GCBU,Grand Cayman Bullfinch,Melopyrrha taylori,cubbul3
GCAT,Grand Cayman Thrush,Turdus ravidus,grcthr1
GWRE,Grass Wren,Cistothorus platensis,sedwre
GRSP,Grasshopper Sparrow,Ammodramus savannarum,graspa
GRYF,Grassland Yellow-Finch,Sicalis luteola,gryfin1
GRBU,Gray Bunting,Emberiza variabilis,grybun
GRCA,Gray Catbird,Dumetella carolinensis,grycat
GRFL,Gray Flycatcher,Empidonax wrightii,gryfly
GRAF,Gray Francolin,Ortygornis pondicerianus,gryfra
GRGU,Gray Gull,Leucophaeus modestus,grygul
GRHA,Gray Hawk,Buteo plagiatus,gryhaw2
GRAH,Gray Heron,Ardea cinerea,graher1
GRAK,Gray Kingbird,Tyrannus dominicensis,grykin
GRNI,Gray Nightjar,Caprimulgus jotaka,grynig1
GRAP,Gray Partridge,Perdix perdix,grypar
GRSF,Gray Silky-flycatcher,Ptiliogonys cinereus,grsfly1
GRAT,Gray Thrasher,Toxostoma cinereum,grathr1
GRTR,Gray Trembler,Cinclocerthia gutturalis,gratre1
GRVI,Gray Vireo,Vireo vicinior,gryvir
GRAW,Gray Wagtail,Motacilla cinerea,grywag
GAGT,Gray-and-gold Tanager,Poecilostreptus palmeri,gagtan1
GBAT,Gray-backed Tern,Onychoprion lunatus,gybter1
GBWR,Gray-barred Wren,Campylorhynchus megalopterus,grbwre1
GBEH,Gray-bellied Hawk,Accipiter poliogaster,gybhaw1
GBCR,Gray-breasted Crake,Laterallus exilis,grbcra1
GYBM,Gray-breasted Martin,Progne chalybea,gybmar
GBWW,Gray-breasted Wood-Wren,Henicorhina leucophrys,gbwwre1
GBWO,Gray-breasted Woodpecker,Melanerpes hypopolius,grbwoo1
GCCU,Gray-capped Cuckoo,Coccyzus lansbergi,gyccuc
GCAF,Gray-capped Flycatcher,Myiozetetes granadensis,grcfly1
GCNU,Gray-cheeked Nunlet,Nonnula frontalis,gycnun1
GCTH,Gray-cheeked Thrush,Catharus minimus,gycthr
GCDO,Gray-chested Dove,Leptotila cassinii,grcdov1
GCBE,Gray-collared Becard,Pachyramphus major,grcbec1
GCWR,Gray-cowled Wood-Rail,Aramides cajaneus,gycwor1
GCPT,Gray-crowned Palm-Tanager,Phaenicophilus poliocephalus,gcptan1
GCRF,Gray-crowned Rosy-Finch,Leucosticte tephrocotis,gcrfin
GRCW,Gray-crowned Woodpecker,Colaptes auricularis,grcwoo1
GCYE,Gray-crowned Yellowthroat,Geothlypis poliocephala,gycyel
GFPE,Gray-faced Petrel,Pterodroma gouldi,grwpet2
GFQD,Gray-fronted Quail-Dove,Geotrygon caniceps,gfqdov
GHEC,Gray-headed Chachalaca,Ortalis cinereiceps,grhcha1
GHCH,Gray-headed Chickadee,Poecile cinctus,gyhchi
GHDO,Gray-headed Dove,Leptotila plumbeiceps,gyhdov1
GHKI,Gray-headed Kite,Leptodon cayanensis,grhkit1
GHPI,Gray-headed Piprites,Piprites griseiceps,grhpip1
GHET,Gray-headed Tanager,Eucometis penicillata,grhtan1
GHGU,Gray-hooded Gull,Chroicocephalus cirrocephalus,grhgul
GLHA,Gray-lined Hawk,Buteo nitidus,gryhaw3
GRSW,Gray-rumped Swift,Chaetura cinereiventris,grrswi1
GSFL,Gray-streaked Flycatcher,Muscicapa griseisticta,gysfly1
GTTA,Gray-tailed Tattler,Tringa brevipes,gyttat1
GTCH,Gray-throated Chat,Granatellus sallaei,grtcha1
GTLE,Gray-throated Leaftosser,Sclerurus albigularis,grtlea1
GRGO,Graylag Goose,Anser anser,gragoo
GANT,Great Antshrike,Taraba major,greant1
GRAU,Great Auk,Pinguinus impennis,greauk
GBHA,Great Black Hawk,Buteogallus urubitinga,grbhaw1
GBBG,Great Black-backed Gull,Larus marinus,gbbgul
GBHE,Great Blue Heron,Ardea herodias,grbher3
GRCO,Great Cormorant,Phalacrocorax carbo,grecor
GCFL,Great Crested Flycatcher,Myiarchus crinitus,grcfly
GCTE,Great Crested Tern,Thalasseus bergii,grcter1
GRCU,Great Curassow,Crax rubra,grecur1
GREG,Great Egret,Ardea alba,greegr
GREF,Great Frigatebird,Fregata minor,grefri
GGOW,Great Gray Owl,Strix nebulosa,grgowl
GGMA,Great Green Macaw,Ara ambiguus,grgmac
GHOW,Great Horned Owl,Bubo virginianus,grhowl
GREJ,Great Jacamar,Jacamerops aureus,grejac2
GKIS,Great Kiskadee,Pitangus sulphuratus,grekis
GRKN,Great Knot,Calidris tenuirostris,grekno
GRLC,Great Lizard-Cuckoo,Coccyzus merlini,grelic1
GRPO,Great Potoo,Nyctibius grandis,grepot1
GRSH,Great Shearwater,Ardenna gravis,greshe
GRSK,Great Skua,Stercorarius skua,gresku1
GSWO,Great Spotted Woodpecker,Dendrocopos major,grswoo
GSTS,Great Swallow-tailed Swift,Panyptila sanctihieronymi,gstswi1
GRTI,Great Tinamou,Tinamus major,gretin1
GTGR,Great-tailed Grackle,Quiscalus mexicanus,grtgra
GRAM,Greater Amakihi,Viridonia sagittirostris,greama
GRTA,Greater Ani,Crotophaga major,greani1
GABU,Greater Antillean Bullfinch,Melopyrrha violacea,grabul1
GAGR,Greater Antillean Grackle,Quiscalus niger,gragra1
GRKF,Greater Koa-Finch,Rhodacanthis palmeri,grkfin
GNLA,Greater Necklaced Laughingthrush,Pterorhinus pectoralis,gnlthr
GRPE,Greater Pewee,Contopus pertinax,grepew
GRPC,Greater Prairie-Chicken,Tympanuchus cupido,grpchi
GRRO,Greater Roadrunner,Geococcyx californianus,greroa
GRSG,Greater Sage-Grouse,Centrocercus urophasianus,saggro
GSAP,Greater Sand-Plover,Anarhynchus leschenaultii,grsplo
GRSC,Greater Scaup,Aythya marila,gresca
GWFG,Greater White-fronted Goose,Anser albifrons,gwfgoo
GRYE,Greater Yellowlegs,Tringa melanoleuca,greyel
GREH,Green Hermit,Phaethornis guy,greher1
GRHE,Green Heron,Butorides virescens,grnher
GRHO,Green Honeycreeper,Chlorophanes spiza,grehon1
GRIB,Green Ibis,Mesembrinibis cayennensis,greibi1
GRJA,Green Jay,Cyanocorax yncas,grnjay
GKIN,Green Kingfisher,Chloroceryle americana,grnkin
GMAK,Green Manakin,Cryptopipo holochlora,greman2
GMAG,Green Mango,Anthracothorax viridis,greman1
GREP,Green Parakeet,Psittacara holochlorus,grnpar
GRSA,Green Sandpiper,Tringa ochropus,grnsan
GRSV,Green Shrike-Vireo,Vireolanius pulchellus,grsvir1
GRET,Green Thorntail,Discosura conversii,gretho1
GARK,Green-and-rufous Kingfisher,Chloroceryle inda,garkin1
GBSP,Green-backed Sparrow,Arremonops chloronotus,grbspa1
GNBM,Green-breasted Mango,Anthracothorax prevostii,gnbman
GBMG,Green-breasted Mountain-gem,Lampornis sybillae,gbmgem1
GCBR,Green-crowned Brilliant,Heliodoxa jacula,grcbri1
GFHU,Green-fronted Hummingbird,Ramosomyia viridifrons,grfhum1
GFRL,Green-fronted Lancebill,Doryfera ludovicae,grflan1
GNTA,Green-naped Tanager,Tangara fucosa,grntan1
GRUP,Green-rumped Parrotlet,Forpus passerinus,grrpar1
GSBR,Green-striped Brushfinch,Arremon virenticeps,gsbfin1
GTTO,Green-tailed Towhee,Pipilo chlorurus,gnttow
GTWA,Green-tailed Warbler,Microligea palustris,grtwar1
GTCA,Green-throated Carib,Eulampis holosericeus,grtcar1
GTMG,Green-throated Mountain-gem,Lampornis viridipallens,gtmgem1
GWTE,Green-winged Teal,Anas crecca,gnwtea
GREL,Greenish Elaenia,Myiopagis viridicata,greela
GRPU,Greenish Puffleg,Haplophaedia aureliae,grepuf1
GRDO,Grenada Dove,Leptotila wellsi,gredov1
GFLY,Grenada Flycatcher,Myiarchus nugator,grefly1
GREW,Grenada Wren,Troglodytes grenadensis,houwre11
GBAN,Groove-billed Ani,Crotophaga sulcirostris,grbani
GUCA,Guadalupe Caracara,Caracara lutosa,guacar2
GUJU,Guadalupe Junco,Junco insularis,daejun2
GUMU,Guadalupe Murrelet,Synthliboramphus hypoleucus,xanmur1
GUSP,Guadalupe Storm-Petrel,Hydrobates macrodactylus,guspet
GUWO,Guadeloupe Woodpecker,Melanerpes herminieri,guawoo1
GUFL,Guatemalan Flicker,Colaptes mexicanoides,norfli1
GUTY,Guatemalan Tyrannulet,Zimmerius vilissimus,paltyr2
GBTE,Gull-billed Tern,Gelochelidon nilotica,gubter2
GUHA,Gundlach's Hawk,Astur gundlachi,gunhaw1
GUSG,Gunnison Sage-Grouse,Centrocercus minimus,gusgro
GYRF,Gyrfalcon,Falco rusticolus,gyrfal
HAWO,Hairy Woodpecker,Leuconotopicus villosus,haiwoo
HAFL,Hammond's Flycatcher,Empidonax hammondii,hamfly
HAWR,Happy Wren,Pheugopedius felix,hapwre1
HADU,Harlequin Duck,Histrionicus histrionicus,harduc
HAEA,Harpy Eagle,Harpia harpyja,hareag1
HAHA,Harris's Hawk,Parabuteo unicinctus,hrshaw
HASP,Harris's Sparrow,Zonotrichia querula,harspa
HAAK,Hawaii Akepa,Loxops coccineus,akepa1
HAAM,Hawaii Amakihi,Chlorodrepanis virens,hawama
HCRE,Hawaii Creeper,Loxops mana,hawcre
HAEL,Hawaii Elepaio,Chasiempis sandwichensis,elepai
HAMA,Hawaii Mamo,Drepanis pacifica,hawmam1
HAOO,Hawaii Oo,Moho nobilis,hawoo
HACO,Hawaiian Coot,Fulica alai,hawcoo
HCRO,Hawaiian Crow,Corvus hawaiiensis,hawcro
HAWD,Hawaiian Duck,Anas wyvilliana,hawduc
HAGO,Hawaiian Goose,Branta sandvicensis,hawgoo
HAWH,Hawaiian Hawk,Buteo solitarius,hawhaw
HAPE,Hawaiian Petrel,Pterodroma sandwichensis,hawpet1
HARA,Hawaiian Rail,Zapornia sandwichensis,hawrai
HAWF,Hawfinch,Coccothraustes coccothraustes,hawfin
HEGU,Heermann's Gull,Larus heermanni,heegul
HELG,Helmeted Guineafowl,Numida meleagris,helgui
HESP,Henslow's Sparrow,Centronyx henslowii,henspa
HETA,Hepatic Tanager,Piranga flava,heptan
HEPE,Herald Petrel,Pterodroma heraldica,herpet2
HETH,Hermit Thrush,Catharus guttatus,herthr
HEWA,Hermit Warbler,Setophaga occidentalis,herwar
HIGU,Highland Guan,Penelopina nigra,higgua1
HITI,Highland Tinamou,Nothocercus bonapartei,higtin1
HISN,Himalayan Snowcock,Tetraogallus himalayensis,himsno
HIAM,Hispaniolan Amazon,Amazona ventralis,hispar1
HICR,Hispaniolan Crossbill,Loxia megaplaga,hiscro
HIEM,Hispaniolan Emerald,Riccordia swainsonii,hiseme1
HIEU,Hispaniolan Euphonia,Chlorophonia musica,anteup2
HILC,Hispaniolan Lizard-Cuckoo,Coccyzus longirostris,hislic1
HIMA,Hispaniolan Mango,Anthracothorax dominicus,antman2
HINI,Hispaniolan Nightjar,Antrostomus ekmani,granig3
HIOR,Hispaniolan Oriole,Icterus dominicensis,graori1
HIPC,Hispaniolan Palm-Crow,Corvus palmarum,palcro1
HIPA,Hispaniolan Parakeet,Psittacara chloropterus,hispar
HIPE,Hispaniolan Pewee,Contopus hispaniolensis,hispew1
HISP,Hispaniolan Spindalis,Spindalis dominicensis,hisspi
HITR,Hispaniolan Trogon,Priotelus roseigaster,histro1
HIWO,Hispaniolan Woodpecker,Melanerpes striatus,hiswoo1
HOWO,Hoffmann's Woodpecker,Melanerpes hoffmannii,hofwoo1
HOEM,Honduran Emerald,Amazilia luciae,honeme1
HOCR,Hooded Crane,Grus monacha,hoocra1
HCRW,Hooded Crow,Corvus cornix,hoocro1
HOOG,Hooded Grosbeak,Hesperiphona abeillei,hoogro1
HOME,Hooded Merganser,Lophodytes cucullatus,hoomer
HOOR,Hooded Oriole,Icterus cucullatus,hooori
HOWA,Hooded Warbler,Setophaga citrina,hoowar
HOYE,Hooded Yellowthroat,Geothlypis nelsoni,hooyel1
HBKI,Hook-billed Kite,Chondrohierax uncinatus,hobkit
HOGR,Horned Grebe,Podiceps auritus,horgre
HOGU,Horned Guan,Oreophasis derbianus,horgua1
HOLA,Horned Lark,Eremophila alpestris,horlar
HOPU,Horned Puffin,Fratercula corniculata,horpuf
HOFI,House Finch,Haemorhous mexicanus,houfin
HOSP,House Sparrow,Passer domesticus,houspa
HUGO,Hudsonian Godwit,Limosa haemastica,hudgod
HUSA,Humboldt's Sapphire,Chrysuronia humboldtii,humsap2
HUVI,Hutton's Vireo,Vireo huttoni,hutvir
ICGU,Iceland Gull,Larus glaucoides,y00478
ICWA,Icterine Warbler,Hippolais icterina,ictwar1
IIWI,Iiwi,Drepanis coccinea,iiwi
IMAM,Imperial Amazon,Amazona imperialis,imppar1
IMWO,Imperial Woodpecker,Campephilus imperialis,impwoo1
INWO,Inagua Woodstar,Nesophlox lyrura,inawoo2
INDO,Inca Dove,Columbina inca,incdov
INTE,Inca Tern,Larosterna inca,incter1
INPE,Indian Peafowl,Pavo cristatus,compea
INSI,Indian Silverbill,Euodice malabarica,indsil
INBU,Indigo Bunting,Passerina cyanea,indbun
ISCA,Island Canary,Serinus canaria,comcan
ISSJ,Island Scrub-Jay,Aphelocoma insularis,issjay
ISWR,Isthmian Wren,Cantorchilus elutus,istwre1
IVGU,Ivory Gull,Pagophila eburnea,ivogul
IBIW,Ivory-billed Woodcreeper,Xiphorhynchus flavigaster,ivbwoo1
IBWO,Ivory-billed Woodpecker,Campephilus principalis,ivbwoo
JABI,Jabiru,Jabiru mycteria,jabiru
JASN,Jack Snipe,Lymnocryptes minimus,jacsni
JABE,Jamaican Becard,Pachyramphus niger,jambec1
JABL,Jamaican Blackbird,Nesopsar nigerrimus,jambla1
JACR,Jamaican Crow,Corvus jamaicensis,jamcro1
JAEL,Jamaican Elaenia,Myiopagis cotta,jamela1
JAEU,Jamaican Euphonia,Euphonia jamaica,jameup1
JALC,Jamaican Lizard-Cuckoo,Coccyzus vetula,jamlic1
JAMA,Jamaican Mango,Anthracothorax mango,jamman1
JAOR,Jamaican Oriole,Icterus leucopteryx,jamori1
JAOW,Jamaican Owl,Asio grammicus,jamowl1
JAPA,Jamaican Pauraque,Siphonorhis americana,jampau
JPET,Jamaican Petrel,Pterodroma caribbaea,bkcpet2
JPEW,Jamaican Pewee,Contopus pallidus,jampew1
JAMS,Jamaican Spindalis,Spindalis nigricephala,jamspi
JATO,Jamaican Tody,Todus todus,jamtod1
JAVI,Jamaican Vireo,Vireo modestus,jamvir1
JAWO,Jamaican Woodpecker,Melanerpes radiolatus,jamwoo1
JBWA,Japanese Bush Warbler,Horornis diphone,jabwar
JAQU,Japanese Quail,Coturnix japonica,japqua
JASP,Java Sparrow,Padda oryzivora,javspa
JEAN,Jet Antbird,Cercomacra nigricans,jetant1
JOPE,Jouanin's Petrel,Bulweria fallax,joupet
JFPE,Juan Fernandez Petrel,Pterodroma externa,jufpet
JUTI,Juniper Titmouse,Baeolophus ridgwayi,juntit1
KAKA,Kakawahie,Paroreomyza flammea,kakawa
KAPH,Kalij Pheasant,Lophura leucomelanos,kalphe
KAWR,Kalinago Wren,Troglodytes martinicensis,cinwre1
KAMA,Kamao,Myadestes myadestinus,kamao
KLWA,Kamchatka Leaf Warbler,Phylloscopus examinandus,arcwar2
KAAK,Kauai Akialoa,Akialoa stejnegeri,greaki4
KAAM,Kauai Amakihi,Chlorodrepanis stejnegeri,kauama
KAEL,Kauai Elepaio,Chasiempis sclateri,elepai5
KANU,Kauai Nukupuu,Hemignathus hanapepe,nukupu2
KAOO,Kauai Oo,Moho braccatus,kauoo
KBMO,Keel-billed Motmot,Electron carinatum,kebmot1
KBTO,Keel-billed Toucan,Ramphastos sulfuratus,kebtou1
KEGU,Kelp Gull,Larus dominicanus,kelgul
KEPL,Kentish Plover,Anarhynchus alexandrinus,kenplo1
KEWA,Kentucky Warbler,Geothlypis formosa,kenwar
KEPE,Kermadec Petrel,Pterodroma neglecta,kerpet
KWQD,Key West Quail-Dove,Geotrygon chrysia,kwqdov
KILL,Killdeer,Charadrius vociferus,killde
KIEI,King Eider,Somateria spectabilis,kineid
KIRA,King Rail,Rallus elegans,kinrai4
KIVU,King Vulture,Sarcoramphus papa,kinvul1
KIOE,Kioea,Chaetoptila angustipluma,kioea
KIWA,Kirtland's Warbler,Setophaga kirtlandii,kirwar
KIMU,Kittlitz's Murrelet,Brachyramphus brevirostris,kitmur
KOGR,Kona Grosbeak,Chloridops kona,kongro
LSFL,La Sagra's Flycatcher,Myiarchus sagrae,lasfly
LSTH,La Selle Thrush,Turdus swalesi,lasthr1
LABD,Labrador Duck,Camptorhynchus labradorius,labduc
LBWO,Ladder-backed Woodpecker,Dryobates scalaris,labwoo
LANH,Lanai Hookbill,Dysmorodrepanis munroi,lanhoo
LATM,Lance-tailed Manakin,Chiroxiphia lanceolata,latman1
LAMO,Lanceolated Monklet,Micromonacha lanceolata,lanmon1
LANW,Lanceolated Warbler,Locustella lanceolata,lanwar
LALO,Lapland Longspur,Calcarius lapponicus,laplon
LBSF,Large-billed Seed-Finch,Sporophila crassirostris,lbsfin1
LBTE,Large-billed Tern,Phaetusa simplex,labter1
LFFI,Large-footed Finch,Pezopetes capitalis,laffin1
LARB,Lark Bunting,Calamospiza melanocorys,larbun
LASP,Lark Sparrow,Chondestes grammacus,larspa
LTTR,Lattice-tailed Trogon,Trogon clathratus,lattro1
LAFA,Laughing Falcon,Herpetotheres cachinnans,laufal1
LAGU,Laughing Gull,Leucophaeus atricilla,laugul
LAVW,Lavender Waxbill,Glaucestrilda caerulescens,lavwax
LAGO,Lawrence's Goldfinch,Spinus lawrencei,lawgol
LAAL,Laysan Albatross,Phoebastria immutabilis,layalb
LAYD,Laysan Duck,Anas laysanensis,layduc
LAFI,Laysan Finch,Telespiza cantans,layfin
LAYH,Laysan Honeycreeper,Himatione fraithii,apapan2
LARA,Laysan Rail,Zapornia palmeri,layrai
LAZB,Lazuli Bunting,Passerina amoena,lazbun
LCSP,LeConte's Sparrow,Ammospiza leconteii,lecspa
LCTH,LeConte's Thrasher,Toxostoma lecontei,lecthr
LESP,Leach's Storm-Petrel,Hydrobates leucorhous,lcspet
LEAU,Least Auklet,Aethia pusilla,leaauk
LEBI,Least Bittern,Botaurus exilis,leabit
LEFL,Least Flycatcher,Empidonax minimus,leafly
LEGR,Least Grebe,Tachybaptus dominicus,leagre
LEPA,Least Pauraque,Siphonorhis brewsteri,leapau1
LESA,Least Sandpiper,Calidris minutilla,leasan
LSTP,Least Storm-Petrel,Hydrobates microsoma,lsspet
LETE,Least Tern,Sternula antillarum,leater1
LSTA,Lemon-spectacled Tanager,Chlorothraupis olivacea,lestan
LEAK,Lesser Akialoa,Akialoa obscura,lesaki
LANB,Lesser Antillean Bullfinch,Loxigilla noctis,leabul1
LAEU,Lesser Antillean Euphonia,Chlorophonia flavifrons,anteup4
LAFL,Lesser Antillean Flycatcher,Myiarchus oberi,leafly1
LAPE,Lesser Antillean Pewee,Contopus latirostris,leapew1
LASA,Lesser Antillean Saltator,Saltator albicollis,leasal1
LASW,Lesser Antillean Swift,Chaetura martinica,leaswi1
LATA,Lesser Antillean Tanager,Stilpnia cucullata,leatan1
LBBG,Lesser Black-backed Gull,Larus fuscus,lbbgul
LEEL,Lesser Elaenia,Elaenia chiriquensis,lesela1
LEFR,Lesser Frigatebird,Fregata ariel,lesfri
LEGO,Lesser Goldfinch,Spinus psaltria,lesgol
LESG,Lesser Greenlet,Pachysylvia decurtata,lesgre1
LEGC,Lesser Ground-Cuckoo,Morococcyx erythropygus,legcuc1
LEKI,Lesser Kiskadee,Philohydor lictor,leskis1
LEKF,Lesser Koa-Finch,Rhodacanthis flaviceps,lekfin
LENI,Lesser Nighthawk,Chordeiles acutipennis,lesnig
LEPC,Lesser Prairie-Chicken,Tympanuchus pallidicinctus,lepchi
LERO,Lesser Roadrunner,Geococcyx velox,lesroa1
LESC,Lesser Scaup,Aythya affinis,lessca
LSTS,Lesser Swallow-tailed Swift,Panyptila cayennensis,lstswi1
LEVI,Lesser Violetear,Colibri cyanotus,lesvio1
LWFG,Lesser White-fronted Goose,Anser erythropus,lwfgoo
LEWH,Lesser Whitethroat,Curruca curruca,leswhi4
LYHV,Lesser Yellow-headed Vulture,Cathartes burrovianus,lyhvul1
LEYE,Lesser Yellowlegs,Tringa flavipes,lesyel
LEMO,Lesson's Motmot,Momotus lessonii,bucmot2
LESE,Lesson's Seedeater,Sporophila bouvronides,lessee2
LEWO,Lewis's Woodpecker,Melanerpes lewis,lewwoo
LMAL,Light-mantled Albatross,Phoebetria palpebrata,limalb1
LCAM,Lilac-crowned Amazon,Amazona finschi,licpar
LIMP,Limpkin,Aramus guarauna,limpki
LISP,Lincoln's Sparrow,Melospiza lincolnii,linspa
LIFG,Lineated Foliage-gleaner,Syndactyla subalaris,lifgle1
LIWO,Lineated Woodpecker,Dryocopus lineatus,linwoo1
LISE,Lined Seedeater,Sporophila lineola,linsee1
LIBI,Little Bittern,Botaurus minutus,litbit1
LBHE,Little Blue Heron,Egretta caerulea,libher
LIBU,Little Bunting,Emberiza pusilla,litbun
LITC,Little Cuckoo,Coccycua minuta,litcuc2
LICU,Little Curlew,Numenius minutus,litcur
LIEG,Little Egret,Egretta garzetta,litegr
LIGU,Little Gull,Hydrocoloeus minutus,litgul
LRPL,Little Ringed Plover,Thinornis dubius,lirplo
LIST,Little Stint,Calidris minuta,litsti
LITE,Little Tern,Sternula albifrons,litter1
LITI,Little Tinamou,Crypturellus soui,littin1
LIWT,Little White-Tern,Gygis microrhyncha,whiter5
LOKI,Loggerhead Kingbird,Tyrannus caudifasciatus,logkin
LOSH,Loggerhead Shrike,Lanius ludovicianus,logshr
LBCU,Long-billed Curlew,Numenius americanus,lobcur
LBDO,Long-billed Dowitcher,Limnodromus scolopaceus,lobdow
LBGN,Long-billed Gnatwren,Ramphocaenus melanurus,lobgna5
LBIH,Long-billed Hermit,Phaethornis longirostris,lobher
LBMU,Long-billed Murrelet,Brachyramphus perdix,lobmur
LBST,Long-billed Starthroat,Heliomaster longirostris,lobsta1
LBTH,Long-billed Thrasher,Toxostoma longirostre,lobthr
LEOW,Long-eared Owl,Asio otus,loeowl
LLBU,Long-legged Buzzard,Buteo rufinus,lolbuz1
LTDU,Long-tailed Duck,Clangula hyemalis,lotduc
LTJA,Long-tailed Jaeger,Stercorarius longicaudus,lotjae
LOTM,Long-tailed Manakin,Chiroxiphia linearis,lotman1
LTSF,Long-tailed Silky-flycatcher,Ptiliogonys caudatus,ltsfly1
LTTY,Long-tailed Tyrant,Colonia colonus,lottyr1
LTWP,Long-tailed Wood-Partridge,Dendrortyx macroura,ltwpar1
LTST,Long-toed Stint,Calidris subminuta,lotsti
LWHA,Long-winged Harrier,Circus buffoni,lowhar1
